Date : 2020-01-13 07:35:59
Directory : /Users/mikaelderagon/git/sembly
Total : 196 files,  29983 codes, 2698 comments, 2192 blanks, all 34873 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/mikaelderagon/git/sembly/src/components/LoginForm.js                                                                                                 | JavaScript   |         44 |          0 |          5 |         49 |
| /Users/mikaelderagon/git/sembly/src/components/PostViewCommentHeader.js                                                                                     | JavaScript   |         99 |          0 |         19 |        118 |
| /Users/mikaelderagon/git/sembly/src/components/PostViewUserPost.js                                                                                          | JavaScript   |        202 |          0 |         14 |        216 |
| /Users/mikaelderagon/git/sembly/src/components/ProfileStatistic.js                                                                                          | JavaScript   |         52 |          0 |         14 |         66 |
| /Users/mikaelderagon/git/sembly/src/components/ProfileStatsBar.js                                                                                           | JavaScript   |         68 |          0 |         16 |         84 |
| /Users/mikaelderagon/git/sembly/src/components/PromoPost.js                                                                                                 | JavaScript   |        107 |          0 |         18 |        125 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyBackCaret.js                                                                                           | JavaScript   |         30 |          0 |          9 |         39 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyButton.js                                                                                              | JavaScript   |         64 |          0 |         15 |         79 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyDropdown.js                                                                                            | JavaScript   |        120 |          1 |         19 |        140 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyHeaderButton.js                                                                                        | JavaScript   |         58 |          0 |         15 |         73 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyInput.js                                                                                               | JavaScript   |         82 |          0 |         16 |         98 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyLabel.js                                                                                               | JavaScript   |         46 |          0 |         13 |         59 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyMapPin.js                                                                                              | JavaScript   |        107 |          0 |         15 |        122 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyPlaceAutoComplete.js                                                                                   | JavaScript   |        121 |          2 |         17 |        140 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyRedeemButton.js                                                                                        | JavaScript   |         77 |          0 |         16 |         93 |
| /Users/mikaelderagon/git/sembly/src/components/SemblyUserComment.js                                                                                         | JavaScript   |        102 |          0 |         17 |        119 |
| /Users/mikaelderagon/git/sembly/src/components/SlidingPanelNavigator.js                                                                                     | JavaScript   |         39 |          2 |         15 |         56 |
| /Users/mikaelderagon/git/sembly/src/components/index.js                                                                                                     | JavaScript   |         15 |          0 |          1 |         16 |
| /Users/mikaelderagon/git/sembly/src/containers/AppRoot.js                                                                                                   | JavaScript   |        281 |          7 |         28 |        316 |
| /Users/mikaelderagon/git/sembly/src/containers/Main/FeedView.js                                                                                             | JavaScript   |        312 |          4 |         26 |        342 |
| /Users/mikaelderagon/git/sembly/src/containers/Main/HomeView.js                                                                                             | JavaScript   |         93 |          1 |         19 |        113 |
| /Users/mikaelderagon/git/sembly/src/containers/Main/LocationView.js                                                                                         | JavaScript   |        221 |          0 |         23 |        244 |
| /Users/mikaelderagon/git/sembly/src/containers/Main/PostView.js                                                                                             | JavaScript   |        105 |          1 |         21 |        127 |
| /Users/mikaelderagon/git/sembly/src/containers/Main/SemblyMapView.js                                                                                        | JavaScript   |        177 |          9 |         21 |        207 |
| /Users/mikaelderagon/git/sembly/src/containers/Main/index.js                                                                                                | JavaScript   |          3 |          0 |          1 |          4 |
| /Users/mikaelderagon/git/sembly/src/containers/Post/NewPostView.js                                                                                          | JavaScript   |        414 |          1 |         34 |        449 |
| /Users/mikaelderagon/git/sembly/src/containers/Post/index.js                                                                                                | JavaScript   |          1 |          0 |          0 |          1 |
| /Users/mikaelderagon/git/sembly/src/containers/Profile/MyPostsView.js                                                                                       | JavaScript   |         91 |          0 |         18 |        109 |
| /Users/mikaelderagon/git/sembly/src/containers/Profile/ProfileStack.js                                                                                      | JavaScript   |         57 |          0 |         18 |         75 |
| /Users/mikaelderagon/git/sembly/src/containers/Profile/ProfileSubSection.js                                                                                 | JavaScript   |         67 |          0 |         15 |         82 |
| /Users/mikaelderagon/git/sembly/src/containers/Profile/ProfileView.js                                                                                       | JavaScript   |        236 |          3 |         19 |        258 |
| /Users/mikaelderagon/git/sembly/src/containers/Profile/RewardsView.js                                                                                       | JavaScript   |         45 |          1 |         17 |         63 |
| /Users/mikaelderagon/git/sembly/src/containers/Profile/index.js                                                                                             | JavaScript   |          1 |          0 |          0 |          1 |
| /Users/mikaelderagon/git/sembly/src/containers/Welcome/ForgotPasswordView.js                                                                                | JavaScript   |        220 |          1 |         21 |        242 |
| /Users/mikaelderagon/git/sembly/src/containers/Welcome/LoginView.js                                                                                         | JavaScript   |        206 |          9 |         16 |        231 |
| /Users/mikaelderagon/git/sembly/src/containers/Welcome/Onboarding/OnboardingView.js                                                                         | JavaScript   |        156 |          0 |         25 |        181 |
| /Users/mikaelderagon/git/sembly/src/containers/Welcome/Onboarding/ProfileView.js                                                                            | JavaScript   |        244 |          1 |         20 |        265 |
| /Users/mikaelderagon/git/sembly/src/containers/Welcome/SignupView.js                                                                                        | JavaScript   |        237 |          0 |         21 |        258 |
| /Users/mikaelderagon/git/sembly/src/containers/Welcome/index.js                                                                                             | JavaScript   |          5 |          1 |          1 |          7 |
| /Users/mikaelderagon/git/sembly/src/containers/index.js                                                                                                     | JavaScript   |          1 |          0 |          0 |          1 |
| /Users/mikaelderagon/git/sembly/src/domain/Business.js                                                                                                      | JavaScript   |         51 |          3 |          8 |         62 |
| /Users/mikaelderagon/git/sembly/src/domain/Category.js                                                                                                      | JavaScript   |         30 |          0 |          6 |         36 |
| /Users/mikaelderagon/git/sembly/src/domain/Comment.js                                                                                                       | JavaScript   |         24 |          0 |          6 |         30 |
| /Users/mikaelderagon/git/sembly/src/domain/Event.js                                                                                                         | JavaScript   |         52 |          5 |          8 |         65 |
| /Users/mikaelderagon/git/sembly/src/domain/FeedData.js                                                                                                      | JavaScript   |         28 |          2 |          8 |         38 |
| /Users/mikaelderagon/git/sembly/src/domain/Location.js                                                                                                      | JavaScript   |         29 |          0 |          6 |         35 |
| /Users/mikaelderagon/git/sembly/src/domain/Post.js                                                                                                          | JavaScript   |         62 |          3 |         10 |         75 |
| /Users/mikaelderagon/git/sembly/src/domain/User.js                                                                                                          | JavaScript   |         27 |          0 |          6 |         33 |
| /Users/mikaelderagon/git/sembly/src/domain/_mockFeed.json                                                                                                   | JSON         |         75 |          2 |          2 |         79 |
| /Users/mikaelderagon/git/sembly/src/domain/index.js                                                                                                         | JavaScript   |          6 |          0 |          1 |          7 |
| /Users/mikaelderagon/git/sembly/src/helpers/SlidingPanelNavigation.js                                                                                       | JavaScript   |         28 |          0 |          7 |         35 |
| /Users/mikaelderagon/git/sembly/src/helpers/appFunctions.js                                                                                                 | JavaScript   |         40 |          0 |          6 |         46 |
| /Users/mikaelderagon/git/sembly/src/helpers/isColliding.js                                                                                                  | JavaScript   |         15 |          8 |          2 |         25 |
| /Users/mikaelderagon/git/sembly/src/reducers/index.js                                                                                                       | JavaScript   |        139 |         18 |         18 |        175 |
| /Users/mikaelderagon/git/sembly/src/styles/icons.js                                                                                                         | JavaScript   |          7 |          0 |          1 |          8 |
| /Users/mikaelderagon/git/sembly/src/styles/iphoneModelCheck.js                                                                                              | JavaScript   |         21 |          2 |          8 |         31 |
| /Users/mikaelderagon/git/sembly/src/styles/themable.js                                                                                                      | JavaScript   |         54 |          1 |          4 |         59 |
| /Users/mikaelderagon/git/sembly/src/styles/theme.js                                                                                                         | JavaScript   |         40 |          7 |          7 |         54 |
| /Users/mikaelderagon/git/sembly/src/styles/themeContainer.js                                                                                                | JavaScript   |          8 |          0 |          3 |         11 |
| /Users/mikaelderagon/git/sembly/vendor/firebase/firebase.json                                                                                               | JSON         |          7 |          0 |          1 |          8 |
| /Users/mikaelderagon/git/sembly/vendor/firebase/functions/.eslintrc.json                                                                                    | JSON         |         48 |         39 |         37 |        124 |
| /Users/mikaelderagon/git/sembly/vendor/firebase/functions/index.js                                                                                          | JavaScript   |        474 |         53 |         91 |        618 |
| /Users/mikaelderagon/git/sembly/vendor/firebase/functions/package-lock.json                                                                                 | JSON         |      3,753 |          0 |          1 |      3,754 |
| /Users/mikaelderagon/git/sembly/vendor/firebase/functions/package.json                                                                                      | JSON         |         36 |          0 |          1 |         37 |
| /Users/mikaelderagon/git/sembly/vendor/firebase/sembly-staging-firebase-adminsdk-u7rmq-4a1cf8404f.json                                                      | JSON         |         12 |          0 |          1 |         13 |
| /Users/mikaelderagon/git/sembly/vendor/firebase/setup_credentials.sh                                                                                        | Shell Script |          1 |          0 |          0 |          1 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/README.md                                                                                         | Markdown     |        301 |          0 |        118 |        419 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/build.gradle                                                                              | Groovy       |         36 |          0 |          7 |         43 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/AndroidManifest.xml                                                              | XML          |          4 |         19 |          2 |         25 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBAccessTokenModule.java                | Java         |         45 |         38 |         12 |         95 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBActivityEventListener.java            | Java         |         15 |         19 |          7 |         41 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBAppEventsLoggerModule.java            | Java         |         89 |        162 |         22 |        273 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBGameRequestDialogModule.java          | Java         |         51 |         32 |         12 |         95 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBGraphRequestModule.java               | Java         |        229 |         29 |         26 |        284 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBLoginButtonManager.java               | Java         |         38 |         19 |         15 |         72 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBLoginManagerModule.java               | Java         |         87 |         51 |         19 |        157 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBMessageDialogModule.java              | Java         |         62 |         37 |         13 |        112 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBSDKCallbackManagerBaseJavaModule.java | Java         |         15 |         19 |          8 |         42 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBSDKPackage.java                       | Java         |         32 |         19 |          8 |         59 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBSendButtonManager.java                | Java         |         25 |         19 |          8 |         52 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBShareAPIModule.java                   | Java         |         59 |         36 |         12 |        107 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBShareButtonManager.java               | Java         |         26 |         19 |          9 |         54 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/FBShareDialogModule.java                | Java         |         73 |         19 |         15 |        107 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/RCTLoginButton.java                     | Java         |        103 |         23 |         12 |        138 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/ReactNativeFacebookSDKCallback.java     | Java         |         28 |         23 |          8 |         59 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/android/src/main/java/com/facebook/reactnative/androidsdk/Utility.java                            | Java         |        282 |         24 |         28 |        334 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTConvert+FBSDKAccessToken.h                                                   | C++          |          5 |         17 |          6 |         28 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTConvert+FBSDKAccessToken.m                                                   | Objective-C  |         20 |         17 |          5 |         42 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKAccessToken.h                                                           | C++          |          4 |         17 |          4 |         25 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKAccessToken.m                                                           | Objective-C  |         49 |         17 |         14 |         80 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKAppEvents.h                                                             | C++          |          4 |         17 |          4 |         25 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKAppEvents.m                                                             | Objective-C  |         91 |         17 |         27 |        135 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKGraphRequestConnectionContainer.h                                       | C++          |          9 |         35 |          7 |         51 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKGraphRequestConnectionContainer.m                                       | Objective-C  |         92 |         17 |         16 |        125 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKGraphRequestManager.h                                                   | C++          |          4 |         17 |          5 |         26 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/core/RCTFBSDKGraphRequestManager.m                                                   | Objective-C  |         20 |         17 |          7 |         44 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/login/RCTConvert+FBSDKLogin.h                                                        | C++          |          7 |         17 |          6 |         30 |
